CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,PSI,MOR,NAP,FXMP,SEHHP,CAND_IND_1,CAND_IND_2,C_PT_MOR,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,TIEMPO_PROCESAMIENTO,TIEMPO_PROCESAMIENTO_MINUTOS,TIEMPO_PROCESAMIENTO_VERIFICACION,TIEMPO_PROCESAMIENTO_VERIFICACION_MINUTOS
'210428B0100,'210428B01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0428,'01,B,'00,2,4,sin_dato,656,sin_dato,sin_dato,,103,,,5,29,22,81,27,,,,,,5,3,sin_dato,275.0,656.0,676.0, - ,1,F,89e984b61f6c26d8bbbff51698322a7d0d0d35e5b1430ef43527c71406c66aa7,2024-05-12 13:14:26,2024-05-12 13:33:48,2024-05-12 13:35:00,CATD,ESCANER,ACTA PREP,0 days 00:19:22,19.37,0 days 00:20:34,20.57
'210428C0100,'210428C01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0428,'01,C,'00,2,4,sin_dato,655,sin_dato,sin_dato,,38,,,100,30,16,108,74,,,,,,9,4,sin_dato,379.0,655.0,675.0, - ,1,F,b5668346bb1bffc451dee563cc57e3a886392fd0078d20b8b89130fecc0a2bfc,2024-05-12 13:16:25,2024-05-12 13:35:40,2024-05-12 13:53:59,CATD,ESCANER,ACTA PREP,0 days 00:19:15,19.25,0 days 00:37:34,37.57
'210428E0100,'210428E01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0428,'01,E,'00,2,4,sin_dato,630,sin_dato,sin_dato,,99,,,86,55,42,31,15,,,,,,10,5,sin_dato,343.0,630.0,650.0, - ,1,F,57d9bb3cc2f17e6d8eeaaa0ce802712b30334eac997a3ae52ae1ca8d8ae69f59,2024-05-12 13:18:06,2024-05-12 13:37:29,2024-05-12 13:38:32,CATD,ESCANER,ACTA PREP,0 days 00:19:23,19.38,0 days 00:20:26,20.43
'210428E0101,'210428E01014,'21,PUEBLA,'050,CHICONCUAUTLA,'0428,'01,E,'01,2,4,sin_dato,629,sin_dato,sin_dato,,71,,,12,94,100,92,54,,,,,,2,2,sin_dato,427.0,629.0,649.0, - ,1,F,c482e397f77927c7eaaebbe79acf61ae1da5fd7919a909f9d59b031c45157ef1,2024-05-12 13:22:00,2024-05-12 13:40:42,2024-05-12 13:41:52,CATD,ESCANER,ACTA PREP,0 days 00:18:42,18.7,0 days 00:19:52,19.87
'210429B0100,'210429B01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0429,'01,B,'00,2,4,sin_dato,527,sin_dato,sin_dato,,64,,,62,57,92,46,26,,,,,,4,2,sin_dato,353.0,527.0,547.0, - ,1,F,abfe91378c2f24bc5ba368e48fe066e0cebe37b82900c125c64678c4aae1cf8d,2024-05-12 13:24:22,2024-05-12 13:44:13,2024-05-12 13:47:13,CATD,ESCANER,ACTA PREP,0 days 00:19:51,19.85,0 days 00:22:51,22.85
'210429E0100,'210429E01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0429,'01,E,'00,2,4,sin_dato,144,sin_dato,sin_dato,,13,,,16,13,16,23,19,,,,,,1,1,sin_dato,102.0,144.0,164.0, - ,1,F,5f89296b07738e2e5ec0d23c6b8c2295f01846f5c88cfad30b3af101d312b49f,2024-05-12 13:26:29,2024-05-12 13:46:59,2024-05-12 13:52:47,CATD,ESCANER,ACTA PREP,0 days 00:20:30,20.5,0 days 00:26:18,26.3
'210502B0100,'210502B01004,'21,PUEBLA,'058,HONEY,'0502,'01,B,'00,2,4,sin_dato,614,sin_dato,sin_dato,97,,,35,,105,,28,,,,,,,2,7,sin_dato,274.0,614.0,634.0, - ,1,F,a7eb43fa88015cec23ee0402ed63107a0148f50af9ab3be81ba4eefcf5de4950,2024-05-12 19:15:18,2024-05-12 19:16:52,2024-05-12 19:17:23,CATD,ESCANER,ACTA PREP,0 days 00:01:34,1.57,0 days 00:02:05,2.08
'210502C0100,'210502C01004,'21,PUEBLA,'058,HONEY,'0502,'01,C,'00,2,4,sin_dato,614,sin_dato,sin_dato,110,,,55,,82,,84,,,,,,,11,5,sin_dato,347.0,614.0,634.0, - ,1,F,359194041e3c55aab2ee9caaf083eabe3887d1b212a2c8db68af54e32889c99e,2024-05-12 19:16:16,2024-05-12 19:16:51,2024-05-12 19:17:39,CATD,ESCANER,ACTA PREP,0 days 00:00:35,0.58,0 days 00:01:23,1.38
'210502C0200,'210502C02004,'21,PUEBLA,'058,HONEY,'0502,'02,C,'00,2,4,sin_dato,614,sin_dato,sin_dato,58,,,39,,88,,133,,,,,,,3,3,sin_dato,324.0,614.0,634.0, - ,1,F,ad34e461dae7ce877bbe2321bea03aca12659cb6ee29f88b2889d9b35cd137bf,2024-05-12 19:16:59,2024-05-12 19:17:52,2024-05-12 19:18:31,CATD,ESCANER,ACTA PREP,0 days 00:00:53,0.88,0 days 00:01:32,1.53
'210503B0100,'210503B01004,'21,PUEBLA,'058,HONEY,'0503,'01,B,'00,2,4,sin_dato,659,sin_dato,sin_dato,58,,,151,,78,,105,,,,,,,13,2,sin_dato,407.0,659.0,679.0, - ,1,F,7904307dd5b6847ee13e7cd15ffb938c5691d22091e7cfbcbc5d6d6ef68973c0,2024-05-12 19:17:37,2024-05-12 19:18:24,2024-05-12 19:19:12,CATD,ESCANER,ACTA PREP,0 days 00:00:47,0.78,0 days 00:01:35,1.58
'210503C0100,'210503C01004,'21,PUEBLA,'058,HONEY,'0503,'01,C,'00,2,4,sin_dato,659,sin_dato,sin_dato,148,,,55,,74,,104,,,,,,,7,2,sin_dato,390.0,659.0,679.0, - ,1,F,42c8a5677dae17210ca4fbc6369266aa3601adf7e3766ab4b476d8ab8027e905,2024-05-12 19:22:06,2024-05-12 19:22:34,2024-05-12 19:23:05,CATD,ESCANER,ACTA PREP,0 days 00:00:28,0.47,0 days 00:00:59,0.98
'210504B0100,'210504B01004,'21,PUEBLA,'058,HONEY,'0504,'01,B,'00,2,4,-,-,-,-,-,,,-,,-,,-,,,,,,,-,-,-,0.0,585.0,605.0,SIN OBSERVACIONES,-,-,-,2024-05-12 19:22:48,2024-05-12 19:23:20,,-,-,-,0 days 00:00:32,0.53,,
'210535B0100,'210535B01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0535,'01,B,'00,2,4,sin_dato,692,sin_dato,sin_dato,,,71,83,5,11,50,10,23,80,,,,sin_dato,8,3,sin_dato,344.0,692.0,712.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,18a0186ffdd2444b2ea14ffe3d802a9da993fbe16ffc7abcc8484ea12c01eba7,2024-05-12 13:53:54,2024-05-12 14:15:38,2024-05-12 14:16:51,CATD,ESCANER,ACTA PREP,0 days 00:21:44,21.73,0 days 00:22:57,22.95
'210535C0200,'210535C02004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0535,'02,C,'00,2,4,sin_dato,692,sin_dato,sin_dato,,,37,54,6,20,53,63,48,10,,,,sin_dato,1,4,sin_dato,296.0,692.0,712.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,28f46ac2b17e318fc988b537d235d9274a9faae4db1b85282b17d8c0617076bc,2024-05-12 13:55:50,2024-05-12 14:18:23,2024-05-12 14:21:20,CATD,ESCANER,ACTA PREP,0 days 00:22:33,22.55,0 days 00:25:30,25.5
'210536B0100,'210536B01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0536,'01,B,'00,2,4,sin_dato,627,sin_dato,sin_dato,,,9,55,77,62,48,44,11,65,,,,sin_dato,1,1,sin_dato,373.0,627.0,647.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,a9c2e9e0656a02fc21b63f4eb27d5a5a0f9167a9685481e949d5898841e1a17b,2024-05-12 13:59:11,2024-05-12 14:23:09,2024-05-12 14:24:11,CATD,ESCANER,ACTA PREP,0 days 00:23:58,23.97,0 days 00:25:00,25.0
'210536C0100,'210536C01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0536,'01,C,'00,2,4,sin_dato,627,sin_dato,sin_dato,,,46,38,67,55,52,68,67,22,,,,sin_dato,2,1,sin_dato,418.0,627.0,647.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,7ce99a203ae3040c889b5f7168ac055d5132d2a1705981ba7af97a60a4585e7a,2024-05-12 14:00:30,2024-05-12 14:29:05,2024-05-12 14:29:49,CATD,ESCANER,ACTA PREP,0 days 00:28:35,28.58,0 days 00:29:19,29.32
'210536C0200,'210536C02004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0536,'02,C,'00,2,4,sin_dato,627,sin_dato,sin_dato,,,0,0,0,0,0,0,0,0,,,,sin_dato,0,0,sin_dato,0.0,627.0,647.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,a2c7fe9ce708cce9a6c10690dae9794f2c6460562bf834aff3ca2e82480a98e6,2024-05-12 14:01:40,2024-05-12 14:32:20,2024-05-12 14:36:07,CATD,ESCANER,ACTA PREP,0 days 00:30:40,30.67,0 days 00:34:27,34.45
'210537B0100,'210537B01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0537,'01,B,'00,2,4,sin_dato,390,sin_dato,sin_dato,,,0,0,0,0,0,0,0,0,,,,sin_dato,0,0,sin_dato,0.0,390.0,410.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,52783661552afe6eb8b7cc300527649c6e5997748cb26c68259b0a80f51831ef,2024-05-12 19:00:14,2024-05-12 19:01:34,2024-05-12 19:03:29,CATD,ESCANER,ACTA PREP,0 days 00:01:20,1.33,0 days 00:03:15,3.25
'210537C0100,'210537C01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0537,'01,C,'00,2,4,sin_dato,389,sin_dato,sin_dato,,,51,17,16,25,23,11,28,30,,,,sin_dato,2,1,sin_dato,204.0,389.0,409.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,208fe75302d17c0ab6ae593ebad19cb26b0211d32ade7ce5178af9d2bb2dffd4,2024-05-12 19:01:03,2024-05-12 19:01:39,2024-05-12 19:02:49,CATD,ESCANER,ACTA PREP,0 days 00:00:36,0.6,0 days 00:01:46,1.77
'210537E0100,'210537E01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0537,'01,E,'00,2,4,sin_dato,729,sin_dato,sin_dato,,,63,11,90,53,26,72,74,23,,,,sin_dato,8,3,sin_dato,423.0,729.0,749.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,b7ee6e3ceef90ad11311ba8dbac7b2a8d94f8e74acfa76d7ab03c32b2d5c1ace,2024-05-12 19:01:56,2024-05-12 19:03:10,2024-05-12 19:04:17,CATD,ESCANER,ACTA PREP,0 days 00:01:14,1.23,0 days 00:02:21,2.35
'210538B0100,'210538B01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0538,'01,B,'00,2,4,sin_dato,692,sin_dato,sin_dato,,,20,77,65,50,57,26,76,88,,,,sin_dato,5,4,sin_dato,468.0,692.0,712.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,909ad3a0f072f07a9ed66fa699e4fc63b150b41b29b41008cbb81bf40a69391a,2024-05-12 19:02:39,2024-05-12 19:03:40,2024-05-12 19:06:05,CATD,ESCANER,ACTA PREP,0 days 00:01:01,1.02,0 days 00:03:26,3.43
'210538E0100,'210538E01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0538,'01,E,'00,2,4,sin_dato,634,sin_dato,sin_dato,,,20,18,36,47,74,63,70,44,,,,sin_dato,3,4,sin_dato,379.0,634.0,654.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,ec6dc910d23698a1b18212adc86dca6521948cb3f1a9413e6b24b49b0c4748f2,2024-05-12 19:03:30,2024-05-12 19:04:50,2024-05-12 19:05:47,CATD,ESCANER,ACTA PREP,0 days 00:01:20,1.33,0 days 00:02:17,2.28
'210539B0100,'210539B01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0539,'01,B,'00,2,4,sin_dato,432,sin_dato,sin_dato,,,0,0,0,0,0,0,0,0,,,,sin_dato,0,0,sin_dato,0.0,432.0,452.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,84b170ef4a7567f5706a258f7653f1ac95e6e0b2d79a74c1c2623736695b1791,2024-05-12 19:07:58,2024-05-12 19:08:44,2024-05-12 19:15:07,CATD,ESCANER,ACTA PREP,0 days 00:00:46,0.77,0 days 00:07:09,7.15
'210540B0100,'210540B01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0540,'01,B,'00,2,4,sin_dato,268,sin_dato,sin_dato,,,7,41,13,27,5,18,22,30,,,,sin_dato,3,0,sin_dato,166.0,268.0,288.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,c51292e3390e52e42af05c621c9f2bfb4530e4265c980a9940a30213e6fca161,2024-05-12 19:08:58,2024-05-12 19:09:41,2024-05-12 19:10:44,CATD,ESCANER,ACTA PREP,0 days 00:00:43,0.72,0 days 00:01:46,1.77
'210540E0100,'210540E01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0540,'01,E,'00,2,4,sin_dato,610,sin_dato,sin_dato,,,75,32,4,53,43,51,38,sin_dato,,,,sin_dato,8,2,sin_dato,306.0,610.0,630.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,270dc75b4b580f231051e1618ae6401534d4365a8389bf53b917e3ff91379781,2024-05-12 19:09:56,2024-05-12 19:10:38,2024-05-12 19:12:31,CATD,ESCANER,ACTA PREP,0 days 00:00:42,0.7,0 days 00:02:35,2.58
'210541B0100,'210541B01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0541,'01,B,'00,2,4,sin_dato,532,sin_dato,sin_dato,,,17,28,40,63,44,57,21,7,,,,sin_dato,5,0,sin_dato,282.0,532.0,552.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,e5d98c1878737ec102bdc8a605d0a290539b57ae274577c0d24231756f0e0a62,2024-05-12 19:10:40,2024-05-12 19:11:29,2024-05-12 19:13:08,CATD,ESCANER,ACTA PREP,0 days 00:00:49,0.82,0 days 00:02:28,2.47
'210541C0100,'210541C01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0541,'01,C,'00,2,4,sin_dato,532,sin_dato,sin_dato,,,0,0,0,0,0,0,0,0,,,,sin_dato,0,0,sin_dato,0.0,532.0,552.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,24fab71fb64faf2c5d3e25ba36d4e1a9f4070e876b099bdd5373df4585b970dd,2024-05-12 19:11:24,2024-05-12 19:12:07,2024-05-12 19:14:33,CATD,ESCANER,ACTA PREP,0 days 00:00:43,0.72,0 days 00:03:09,3.15
'210541C0200,'210541C02004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0541,'02,C,'00,2,4,sin_dato,532,sin_dato,sin_dato,,,43,38,42,63,64,57,21,53,,,,sin_dato,3,1,sin_dato,385.0,532.0,552.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,3ba3fcbc6b043456a66877313183f345d9b6320523f2b93f45943b4ffc411604,2024-05-12 19:12:10,2024-05-12 19:13:02,2024-05-12 19:15:05,CATD,ESCANER,ACTA PREP,0 days 00:00:52,0.87,0 days 00:02:55,2.92
'210542B0100,'210542B01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0542,'01,B,'00,2,4,sin_dato,728,sin_dato,sin_dato,,,31,98,70,71,31,50,33,5,,,,sin_dato,6,4,sin_dato,399.0,728.0,748.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,fbb9047015609180f050630be48d2ae1e7bc5ff055b5f774c9f3dd13f76854d7,2024-05-12 19:12:58,2024-05-12 19:13:46,2024-05-12 19:13:52,CATD,ESCANER,ACTA PREP,0 days 00:00:48,0.8,0 days 00:00:54,0.9
'210542C0100,'210542C01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0542,'01,C,'00,2,4,sin_dato,727,sin_dato,sin_dato,,,10,12,82,12,19,64,28,54,,,,sin_dato,6,4,sin_dato,291.0,727.0,747.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,4016100ac17541628b08a527f6949ef0300c078eb981158cc950499974b170e2,2024-05-12 19:13:47,2024-05-12 19:14:21,2024-05-12 19:15:27,CATD,ESCANER,ACTA PREP,0 days 00:00:34,0.57,0 days 00:01:40,1.67
'210543B0100,'210543B01004,'21,PUEBLA,'065,FRANCISCO Z. MENA,'0543,'01,B,'00,2,4,sin_dato,745,sin_dato,sin_dato,,,55,86,13,33,28,45,3,86,,,,sin_dato,7,3,sin_dato,359.0,745.0,765.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,fca6569c24c3fcabdbd61f6f6dcf46367f36d8f49b7784c25e84a0186a19b08f,2024-05-12 19:14:27,2024-05-12 19:15:26,2024-05-12 19:15:58,CATD,ESCANER,ACTA PREP,0 days 00:00:59,0.98,0 days 00:01:31,1.52
'210594B0100,'210594B01004,'21,PUEBLA,'072,HUAUCHINANGO,'0594,'01,B,'00,1,4,sin_dato,402,sin_dato,sin_dato,,,30,,24,23,52,,54,14,,,,,4,3,sin_dato,204.0,402.0,422.0, - ,1,F,cc52bc59f78e3499ef041d24d94522ae26186c114204c714a06d4776cf493d3e,2024-05-12 11:28:58,2024-05-12 11:31:10,2024-05-12 11:34:03,CATD,ESCANER,ACTA PREP,0 days 00:02:12,2.2,0 days 00:05:05,5.08
