,CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,PSI,MOR,NAP,FXMP,MRPP,C_PAN_PRI_PRD_PSI,C_PAN_PRI_PRD,C_PAN_PRI_PSI,C_PAN_PRD_PSI,C_PRI_PRD_PSI,C_PAN_PRI,C_PAN_PRD,C_PAN_PSI,C_PRI_PRD,C_PRI_PSI,C_PRD_PSI,C_PT_PVEM_MOR_NAP_FXMP,C_PT_PVEM_MOR_NAP,C_PT_PVEM_MOR_FXMP,C_PT_PVEM_NAP_FXMP,C_PT_MOR_NAP_FXMP,C_PVEM_MOR_NAP_FXMP,C_PT_PVEM_MOR,C_PT_PVEM_NAP,C_PT_PVEM_FXMP,C_PT_MOR_NAP,C_PT_MOR_FXMP,C_PT_NAP_FXMP,C_PVEM_MOR_NAP,C_PVEM_MOR_FXMP,C_PVEM_NAP_FXMP,C_MOR_NAP_FXMP,C_PT_PVEM,C_PT_MOR,C_PT_NAP,C_PT_FXMP,C_PVEM_MOR,C_PVEM_NAP,C_PVEM_FXMP,C_MOR_NAP,C_MOR_FXMP,C_NAP_FXMP,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,TIEMPO_PROCESAMIENTO,TIEMPO_PROCESAMIENTO_MINUTOS
14,'210426C0100,'210426C01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0426,'01,C,'00,2,3,sin_dato,731,sin_dato,sin_dato,,,,47,42,74,,6,31,66,23,,,,,,,,,,,,14,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,4,1,sin_dato,308.0,731.0,751.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,cb1a9074e27aa8565689b64331c923da1f7fee4dda670d8f6d329c419daa139e,2024-05-12 16:37:58,2024-05-12 16:40:13,2024-05-12 16:49:44,CATD,ESCANER,ACTA PREP,0 days 00:02:15,2.25
15,'210427B0100,'210427B01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0427,'01,B,'00,2,3,sin_dato,544,sin_dato,sin_dato,,,,32,61,8,,23,21,47,46,,,,,,,,,,,,0,3,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2,0,sin_dato,243.0,544.0,564.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,d73baa496e7fb960946d763a1ab25626a228b227d7500130674865025683d424,2024-05-12 16:38:34,2024-05-12 16:39:40,2024-05-12 16:42:28,CATD,ESCANER,ACTA PREP,0 days 00:01:06,1.1
16,'210427C0100,'210427C01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0427,'01,C,'00,2,3,sin_dato,544,sin_dato,sin_dato,,,,51,41,27,,43,64,34,25,,,,,,,,,,,,0,0,0,0,0,0,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,6,1,sin_dato,292.0,544.0,564.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,bc792754758fd729b9e1689140650028886f15e6333478456a4b0e44a29cf4fa,2024-05-12 16:39:14,2024-05-12 16:39:53,2024-05-12 16:43:27,CATD,ESCANER,ACTA PREP,0 days 00:00:39,0.65
17,'210427E0100,'210427E01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0427,'01,E,'00,2,3,sin_dato,487,sin_dato,sin_dato,,,,1,27,4,,51,33,53,4,,,,,,,,,,,,0,0,0,0,0,0,0,15,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,5,2,sin_dato,195.0,487.0,507.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,38c2ac6933a5aced2ae660bb181cafc12777d5e6de6e97712a8b887abad5c945,2024-05-12 16:39:54,2024-05-12 16:40:30,2024-05-12 16:45:23,CATD,ESCANER,ACTA PREP,0 days 00:00:36,0.6
18,'210428B0100,'210428B01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0428,'01,B,'00,2,3,sin_dato,656,sin_dato,sin_dato,,,,54,19,86,,41,5,7,19,,,,,,,,,,,,0,2,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2,1,sin_dato,236.0,656.0,676.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,ee9d7f4e629e9a1f375d94a2181046fe0336a1aa0e8f57947b58dfceeaf26bb8,2024-05-12 16:40:37,2024-05-12 16:41:24,2024-05-12 16:49:57,CATD,ESCANER,ACTA PREP,0 days 00:00:47,0.78
19,'210428C0100,'210428C01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0428,'01,C,'00,2,3,sin_dato,655,sin_dato,sin_dato,,,,34,45,32,,33,15,63,20,,,,,,,,,,,,sin_dato,20,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0,4,sin_dato,266.0,655.0,675.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,773717694dfe96b30e71a87b472db089575eb0d6bcc5acd54325ddaa311fe3fd,2024-05-12 16:41:13,2024-05-12 16:47:40,2024-05-12 16:59:13,CATD,ESCANER,ACTA PREP,0 days 00:06:27,6.45
20,'210428E0100,'210428E01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0428,'01,E,'00,2,3,-,-,-,-,,,,-,-,-,,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,630.0,650.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
21,'210428E0101,'210428E01013,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0428,'01,E,'01,2,3,sin_dato,630,sin_dato,sin_dato,,,,77,62,26,,68,40,70,74,,,,,,,,,,,,5,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,4,4,sin_dato,430.0,629.0,649.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,00b8e4fcd3310096386caf3b057592d24b41f3d4f31fa24c6231fd4a62ae64ce,2024-05-12 16:41:51,2024-05-12 16:43:28,2024-05-12 16:46:57,CATD,ESCANER,ACTA PREP,0 days 00:01:37,1.62
22,'210429B0100,'210429B01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0429,'01,B,'00,2,3,-,-,-,-,,,,-,-,-,,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,527.0,547.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
23,'210429E0100,'210429E01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0429,'01,E,'00,2,3,-,-,-,-,,,,-,-,-,,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,144.0,164.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
24,'210502B0100,'210502B01003,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0502,'01,B,'00,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,614.0,634.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
25,'210502C0100,'210502C01003,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0502,'01,C,'00,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,614.0,634.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
26,'210502C0200,'210502C02003,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0502,'02,C,'00,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,614.0,634.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
27,'210503B0100,'210503B01003,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0503,'01,B,'00,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,659.0,679.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
28,'210503C0100,'210503C01003,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0503,'01,C,'00,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,659.0,679.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
29,'210504B0100,'210504B01003,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0504,'01,B,'00,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,585.0,605.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
30,'210504C0100,'210504C01003,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0504,'01,C,'00,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,585.0,605.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
31,'210504E0100,'210504E01003,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0504,'01,E,'00,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,508.0,528.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
32,'210504E0101,'210504E01013,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0504,'01,E,'01,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,508.0,528.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
33,'210535B0100,'210535B01003,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0535,'01,B,'00,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,692.0,712.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
34,'210535C0100,'210535C01003,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0535,'01,C,'00,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,692.0,712.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
35,'210535C0200,'210535C02003,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0535,'02,C,'00,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,692.0,712.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
