,CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO,DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,PSI,MOR,NAP,FXMP,C_PAN_PRI_PRD_PSI,C_PAN_PRI_PRD,C_PAN_PRI_PSI,C_PAN_PRD_PSI,C_PRI_PRD_PSI,C_PAN_PRI,C_PAN_PRD,C_PAN_PSI,C_PRI_PRD,C_PRI_PSI,C_PRD_PSI,C_PT_PVEM_MOR_NAP_FXMP,C_PT_PVEM_MOR_NAP,C_PT_PVEM_MOR_FXMP,C_PT_PVEM_NAP_FXMP,C_PT_MOR_NAP_FXMP,C_PVEM_MOR_NAP_FXMP,C_PT_PVEM_MOR,C_PT_PVEM_NAP,C_PT_PVEM_FXMP,C_PT_MOR_NAP,C_PT_MOR_FXMP,C_PT_NAP_FXMP,C_PVEM_MOR_NAP,C_PVEM_MOR_FXMP,C_PVEM_NAP_FXMP,C_MOR_NAP_FXMP,C_PT_PVEM,C_PT_MOR,C_PT_NAP,C_PT_FXMP,C_PVEM_MOR,C_PVEM_NAP,C_PVEM_FXMP,C_MOR_NAP,C_MOR_FXMP,C_NAP_FXMP,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,TIEMPO_PROCESAMIENTO,TIEMPO_PROCESAMIENTO_MINUTOS
14,'210426C0100,'210426C01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0426,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,731.0,751.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
15,'210427B0100,'210427B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0427,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,544.0,564.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
16,'210427C0100,'210427C01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0427,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,544.0,564.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
17,'210427E0100,'210427E01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0427,'01,E,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,487.0,507.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
18,'210428B0100,'210428B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0428,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,656.0,676.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
19,'210428C0100,'210428C01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0428,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,655.0,675.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
20,'210428E0100,'210428E01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0428,'01,E,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,630.0,650.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
21,'210428E0101,'210428E01012,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0428,'01,E,'01,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,629.0,649.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
22,'210429B0100,'210429B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0429,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,527.0,547.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
23,'210429E0100,'210429E01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0429,'01,E,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,144.0,164.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
24,'210502B0100,'210502B01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0502,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,614.0,634.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
25,'210502C0100,'210502C01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0502,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,614.0,634.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
26,'210502C0200,'210502C02002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0502,'02,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,614.0,634.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
27,'210503B0100,'210503B01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0503,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,659.0,679.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
28,'210503C0100,'210503C01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0503,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,659.0,679.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
29,'210504B0100,'210504B01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0504,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,585.0,605.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
30,'210504C0100,'210504C01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0504,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,585.0,605.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
31,'210504E0100,'210504E01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0504,'01,E,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,508.0,528.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
32,'210504E0101,'210504E01012,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0504,'01,E,'01,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,508.0,528.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
33,'210535B0100,'210535B01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0535,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,692.0,712.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
34,'210535C0100,'210535C01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0535,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,692.0,712.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
35,'210535C0200,'210535C02002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0535,'02,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,692.0,712.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
36,'210536B0100,'210536B01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0536,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,627.0,647.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
37,'210536C0100,'210536C01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0536,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,627.0,647.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
38,'210536C0200,'210536C02002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0536,'02,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,627.0,647.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
39,'210537B0100,'210537B01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0537,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,390.0,410.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
40,'210537C0100,'210537C01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0537,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,389.0,409.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
41,'210537E0100,'210537E01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0537,'01,E,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,729.0,749.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
42,'210538B0100,'210538B01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0538,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,692.0,712.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
43,'210538E0100,'210538E01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0538,'01,E,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,634.0,654.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
44,'210538E0101,'210538E01012,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0538,'01,E,'01,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,634.0,654.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
45,'210539B0100,'210539B01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0539,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,432.0,452.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
46,'210539C0100,'210539C01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0539,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,431.0,451.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
47,'210540B0100,'210540B01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0540,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,268.0,288.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
48,'210540E0100,'210540E01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0540,'01,E,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,610.0,630.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
49,'210541B0100,'210541B01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0541,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,532.0,552.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
50,'210541C0100,'210541C01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0541,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,532.0,552.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
51,'210541C0200,'210541C02002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0541,'02,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,532.0,552.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
52,'210542B0100,'210542B01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0542,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,728.0,748.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
53,'210542C0100,'210542C01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0542,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,727.0,747.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
54,'210543B0100,'210543B01002,'21,PUEBLA,'001,XICOTEPEC DE JUAREZ,'0543,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,745.0,765.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
55,'210594B0100,'210594B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0594,'01,B,'00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,402.0,422.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
