GUBERNATURA
03/06/2024 18:00 (UTC-6)

ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
8334,7770,12,7758,93.0885,6767,81.1975,17.9865,991,4070910,2619742.0,2600241.0,63.8737

CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO,DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,PSI,MORENA,NAP,FXMP,C_PAN_PRI_PRD_PSI,C_PAN_PRI_PRD,C_PAN_PRI_PSI,C_PAN_PRD_PSI,C_PRI_PRD_PSI,C_PAN_PRI,C_PAN_PRD,C_PAN_PSI,C_PRI_PRD,C_PRI_PSI,C_PRD_PSI,C_PT_PVEM_MORENA_NAP_FXMP,C_PT_PVEM_MORENA_NAP,C_PT_PVEM_MORENA_FXMP,C_PT_PVEM_NAP_FXMP,C_PT_MORENA_NAP_FXMP,C_PVEM_MORENA_NAP_FXMP,C_PT_PVEM_MORENA,C_PT_PVEM_NAP,C_PT_PVEM_FXMP,C_PT_MORENA_NAP,C_PT_MORENA_FXMP,C_PT_NAP_FXMP,C_PVEM_MORENA_NAP,C_PVEM_MORENA_FXMP,C_PVEM_NAP_FXMP,C_MORENA_NAP_FXMP,C_PT_PVEM,C_PT_MORENA,C_PT_NAP,C_PT_FXMP,C_PVEM_MORENA,C_PVEM_NAP,C_PVEM_FXMP,C_MORENA_NAP,C_MORENA_FXMP,C_NAP_FXMP,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210000A0100,'210000A01002,'21,PUEBLA,'016,HEROICA PUEBLA DE ZARAGOZA,'N/A,'N/A,A,'00,1,2,N/A,5,N/A,5,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,16,N/A, - ,1,F,41885bd185ac4fc661aa7a7c477413c5dee1f8b92e96caedef9eda691eecd679,03/06/2024 01:16:39,03/06/2024 01:20:45,03/06/2024 02:17:17,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01002,'21,PUEBLA,'017,HEROICA PUEBLA DE ZARAGOZA,'N/A,'N/A,A,'00,1,2,N/A,SIN DATO,N/A,SIN DATO,3,1,0,0,0,0,0,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIN DATO,SIN DATO,16,8,N/A,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,111081f3500a6b9b930283e02d42131c53606a1b0450780721f65b7bd8ebdd8b,03/06/2024 01:28:44,03/06/2024 02:30:26,03/06/2024 02:54:57,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01002,'21,PUEBLA,'018,CHOLULA DE RIVADAVIA,'N/A,'N/A,A,'00,1,2,N/A,SIN ACTA,N/A,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,0,6,N/A,SIN ACTA POR PAQUETE NO ENTREGADO,0,N/A,N/A,N/A,N/A,N/A,CATD,ESCANER,N/A
'210000A0100,'210000A01002,'21,PUEBLA,'024,TEHUACAN,'N/A,'N/A,A,'00,1,2,N/A,9,N/A,9,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIN DATO,9,10,N/A, - ,1,F,0befa973a9cb030829b935449e81a7487bbeb94d9e1572c5918c9044b8ba7afc,03/06/2024 01:25:59,03/06/2024 02:26:01,03/06/2024 02:32:40,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01002,'21,PUEBLA,'026,AJALPAN,'N/A,'N/A,A,'00,1,2,N/A,5,N/A,5,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,N/A, - ,1,F,f249f50288586439f69da84fbc7d6e59669a21b6ca7dd8c2ad4412139d191bf1,02/06/2024 23:53:42,02/06/2024 23:56:46,02/06/2024 23:58:10,CATD,ESCANER,ACTA VA
'210423B0100,'210423B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0423,'01,B,'00,2,2,218,552,7,559,15,140,2,26,24,6,70,185,3,5,0,12,0,0,0,4,0,1,1,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,54,559,559,743,20, - ,1,F,899c99a4a629672ab0c0553519557c285e890c7a8dfb4e77e15906214efc00f2,03/06/2024 10:41:41,03/06/2024 10:51:15,03/06/2024 10:54:43,CATD,ESCANER,ACTA PREP
'210423C0100,'210423C01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0423,'01,C,'00,2,2,226,543,7,550,23,146,2,27,2,7,74,186,5,5,2,9,SIN DATO,1,1,7,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,7,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,46,550,550,742,20,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,25e981b854e26ee617f3cf182e594f1931d43a19466a11a14f281584b61b703b,03/06/2024 10:34:04,03/06/2024 10:44:36,03/06/2024 10:46:58,CATD,ESCANER,ACTA PREP
'210423C0200,'210423C02002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0423,'02,C,'00,2,2,217,551,8,559,20,152,3,22,9,10,88,173,5,1,1,5,SIN DATO,SIN DATO,SIN DATO,2,SIN DATO,3,SIN DATO,1,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1,SIN DATO,1,SIN DATO,SIN DATO,1,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,2,1,SIN DATO,SIN DATO,SIN DATO,1,SIN DATO,SIN DATO,1,SIN DATO,SIN DATO,56,529,559,742,20,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,1537e187aa56660e828d683c7b7d5ffaa956afc87e1dacb23eb1cd8748ee283f,03/06/2024 10:41:01,03/06/2024 10:51:28,03/06/2024 11:06:49,CATD,ESCANER,ACTA PREP
'210423C0300,'210423C03002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0423,'03,C,'00,2,2,220,556,SIN DATO,776,15,164,3,20,7,5,99,164,3,3,0,9,1,0,1,3,0,3,3,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,44,556,556,742,20, - ,1,F,75c8a8bfcf936e2323b3e0a5f0527320fe80b11e324db0becf17aa8818fe1802,03/06/2024 10:29:37,03/06/2024 10:39:07,03/06/2024 10:44:28,CATD,ESCANER,ACTA PREP
'210424B0100,'210424B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'01,B,'00,2,2,155,424,4,428,13,109,6,15,10,7,131,81,2,2,3,3,0,0,0,3,0,1,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,428,428,549,20, - ,1,F,a10b7a5f478cc512861f7301a81ba08fbb9b96375c8d9c31d25ee373a7268bde,03/06/2024 10:38:01,03/06/2024 10:48:01,03/06/2024 10:51:03,CATD,ESCANER,ACTA PREP
'210424C0100,'210424C01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'01,C,'00,2,2,147,430,4,434,17,128,3,16,9,6,121,85,2,2,0,5,1,0,0,2,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,38,434,444,548,20, - ,1,F,434ce10ff5c5fbef50f79bd5eafdacc2d1a87aff476e5e65d1827c930c46f103,03/06/2024 10:38:43,03/06/2024 10:50:13,03/06/2024 10:58:58,CATD,ESCANER,ACTA PREP
'210424C0200,'210424C02002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'02,C,'00,2,2,141,433,8,441,24,107,4,12,11,5,134,73,6,0,1,3,1,0,0,3,1,1,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,441,441,548,20, - ,1,F,b5fa0c4b3b2df90f41024bfb21b2f1c6375fbe48d7d7ee4ab09f383daadd220c,03/06/2024 10:38:13,03/06/2024 10:50:47,03/06/2024 10:51:56,CATD,ESCANER,ACTA PREP
'210424E0100,'210424E01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'01,E,'00,2,2,144,273,1,274,17,86,3,10,10,7,41,3,2,1,0,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,274,214,384,20, - ,1,F,231193cab16321ca30233b4c279592edcf428c6b98fe59e0de4bbcbfa3d1aebc,03/06/2024 10:41:46,03/06/2024 10:51:55,03/06/2024 11:03:50,CATD,ESCANER,ACTA PREP
'210424E0101,'210424E01012,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'01,E,'01,2,2,154,259,5,264,4,85,2,7,9,2,35,79,2,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,264,264,384,20, - ,1,F,2ed72f75d611439afc1a8f415842b54864d4ab9456a98a2640f3446da4874660,03/06/2024 10:32:11,03/06/2024 10:42:19,03/06/2024 10:44:38,CATD,ESCANER,ACTA PREP
'210425B0100,'210425B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0425,'01,B,'00,2,2,134,286,12,298,15,78,2,10,9,1,41,116,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,293,292,398,20, - ,1,F,3f5ff57d676729ec255031f132485f2faaf41c2a702e2c06d5d509a5102c656b,03/06/2024 10:29:34,03/06/2024 10:39:43,03/06/2024 10:44:18,CATD,ESCANER,ACTA PREP
'210425C0100,'210425C01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0425,'01,C,'00,2,2,152,270,10,280,8,72,0,16,7,2,47,85,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,280,280,398,20, - ,1,F,3254dafb20706ac4f04e1fa666d6fc4c594f0c48ff82929f4160aefc13d8f5a1,03/06/2024 10:28:19,03/06/2024 10:38:19,03/06/2024 10:39:59,CATD,ESCANER,ACTA PREP
'210426B0100,'210426B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0426,'01,B,'00,2,2,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,0,732,20,SIN ACTA POR PAQUETE NO ENTREGADO,0,N/A,N/A,N/A,N/A,N/A,CATD,ESCANER,N/A
'210426C0100,'210426C01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0426,'01,C,'00,2,2,203,560,2,562,12,159,4,21,19,13,58,184,1,7,1,11,0,0,0,5,1,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,SIN DATO,57,562,562,731,20,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,7fda8d912d126ae70d29df33da3de245b3af20d683e86c2b9bdd649b8d5b3638,03/06/2024 10:36:46,03/06/2024 10:46:49,03/06/2024 10:48:43,CATD,ESCANER,ACTA PREP
'210427B0100,'210427B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0427,'01,B,'00,2,2,146,432,SIN DATO,432,21,128,5,23,7,14,66,65,2,3,0,6,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81,432,433,544,20, - ,1,F,dbfa83940dbee979ab9560fc5c70c48fc0f31a0c432c48b2412d7ee4599d67f4,03/06/2024 10:38:03,03/06/2024 10:49:42,03/06/2024 10:53:06,CATD,ESCANER,ACTA PREP
'210427C0100,'210427C01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0427,'01,C,'00,2,2,134,441,3,578,12,132,5,29,19,8,107,62,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,SIN DATO,444,544,20, - ,1,F,9eda4d7d65069e02b313a4957fe07c13025f16d608f704747915bed014cd6ea7,03/06/2024 10:27:39,03/06/2024 10:36:49,03/06/2024 10:41:08,CATD,ESCANER,ACTA PREP
'210427E0100,'210427E01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0427,'01,E,'00,2,2,102,410,9,419,7,168,1,14,5,6,98,96,7,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,408,487,20, - ,1,F,5e1acb7a91feb9d5e9833a65e87956c8c8014d6cd9ec3dfda8c81adad5d865c0,03/06/2024 10:34:11,03/06/2024 10:43:44,03/06/2024 10:47:59,CATD,ESCANER,ACTA PREP
'210428B0100,'210428B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0428,'01,B,'00,2,2,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,0,656,20,SIN ACTA POR PAQUETE NO ENTREGADO,0,N/A,N/A,N/A,N/A,N/A,CATD,ESCANER,N/A
