AYUNTAMIENTOS
03/06/2024 20:00 (UTC-6)

ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
8352,7897,12,7885,94.4085,6958,83.3093,13.6254,927,4169515,2687769.0,2682757.0,64.4623

CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,PSI,MORENA,NAP,FXMP,CAND_IND_1,CAND_IND_2,C_PAN_PRI_PRD_PSI,C_PAN_PRI_PRD,C_PAN_PRI_PSI,C_PAN_PRD_PSI,C_PRI_PRD_PSI,C_PAN_PRI,C_PAN_PRD,C_PAN_PSI,C_PRI_PRD,C_PRI_PSI,C_PRD_PSI,C_PT_PVEM_MORENA_NAP_FXMP,C_PT_PVEM_MORENA_NAP,C_PT_PVEM_MORENA_FXMP,C_PT_PVEM_NAP_FXMP,C_PT_MORENA_NAP_FXMP,C_PVEM_MORENA_NAP_FXMP,C_PT_PVEM_MORENA,C_PT_PVEM_NAP,C_PT_PVEM_FXMP,C_PT_MORENA_NAP,C_PT_MORENA_FXMP,C_PT_NAP_FXMP,C_PVEM_MORENA_NAP,C_PVEM_MORENA_FXMP,C_PVEM_NAP_FXMP,C_MORENA_NAP_FXMP,C_PT_PVEM,C_PT_MORENA,C_PT_NAP,C_PT_FXMP,C_PVEM_MORENA,C_PVEM_NAP,C_PVEM_FXMP,C_MORENA_NAP,C_MORENA_FXMP,C_NAP_FXMP,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210000A0100,'210000A01004,'21,PUEBLA,'078,HUEYTAMALCO,'N/A,'N/A,A,'00,1,4,N/A,2,N/A,2,1,0,0,0,0,0,0,1,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0,2,2,2,N/A, - ,1,F,67f4413562496839cd591a86163034ee246a94dc58f5a9bb051eb81a4e3a8ae5,03/06/2024 19:25:01,03/06/2024 19:32:16,03/06/2024 19:42:28,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'086,IXTEPEC,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,N/A,-,-,-,-,-,-,-,-,-,-
'210000A0100,'210000A01004,'21,PUEBLA,'112,PANTEPEC,'N/A,'N/A,A,'00,1,4,N/A,1,N/A,SIN DATO,0,0,0,0,0,0,0,0,1,-,-,-,-,0,-,-,-,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,SIN DATO,1,1,N/A, - ,1,F,50d412f5ed1b192952fa9ced040e76301d5f1a3b388244e2975872a50afeb4d9,03/06/2024 01:18:52,03/06/2024 02:19:04,03/06/2024 02:47:25,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'115,PUEBLA,'N/A,'N/A,A,'00,1,4,N/A,14,N/A,14,7,1,0,1,0,0,0,4,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,4,N/A, - ,1,F,1a0d7331a14dfa5ec5dbc2ea6fe55690662b42559a39eb38b155c3b5e14ab65d,03/06/2024 01:07:50,03/06/2024 01:14:07,03/06/2024 01:17:48,CATD,ESCANER,ACTA VA
'210000A0200,'210000A02004,'21,PUEBLA,'115,PUEBLA,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,15,N/A,-,-,-,-,-,-,-,-,-,-
'210000A0300,'210000A03004,'21,PUEBLA,'115,PUEBLA,'N/A,'N/A,A,'00,1,4,N/A,6,N/A,6,1,0,0,0,0,0,0,4,0,0,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,N/A, - ,1,F,3b7eaa391a6e83f965f7c53f8ee9eeff7ca7de7c3193c3317040139a465732f2,03/06/2024 19:09:24,03/06/2024 19:10:50,03/06/2024 19:42:40,CATD,ESCANER,ACTA VA
'210000A0400,'210000A04004,'21,PUEBLA,'115,PUEBLA,'N/A,'N/A,A,'00,1,4,N/A,SIN DATO,N/A,SIN DATO,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,-,-,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,SIN DATO,0,16,N/A,TODOS ILEGIBLES O SIN DATO,0,F,7c5efd596d56d5a597e9ba670752c0039be9fcaf4f16942774ab720d74b98533,03/06/2024 19:10:13,03/06/2024 19:11:18,03/06/2024 19:11:57,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'118,RAFAEL LARA GRAJALES,'N/A,'N/A,A,'00,1,4,N/A,1,N/A,1,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,0,1,1,1,N/A, - ,1,F,7f6e1b0dc73d879c1d748028b6fd4b2793e701f685ccc5631c76b72acce2191f,03/06/2024 19:20:15,03/06/2024 19:28:14,03/06/2024 19:41:23,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'120,SAN ANDRES CHOLULA,'N/A,'N/A,A,'00,1,4,N/A,SIN ACTA,N/A,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,-,-,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,-,-,-,-,-,-,-,-,-,-,SIN ACTA,-,-,-,-,-,-,SIN ACTA,-,SIN ACTA,-,-,-,-,SIN ACTA,-,SIN ACTA,SIN ACTA,SIN ACTA,0,4,N/A,SIN ACTA POR PAQUETE NO ENTREGADO,0,N/A,N/A,N/A,N/A,N/A,CATD,ESCANER,N/A
'210000A0100,'210000A01004,'21,PUEBLA,'121,SAN ANTONIO CAÑADA,'N/A,'N/A,A,'00,1,4,N/A,1,N/A,1,0,1,0,0,0,0,0,0,-,-,-,-,-,-,-,0,-,-,0,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,N/A, - ,1,F,4909735138cb1c907e3348bd3e55b235b640185c5f50e28ae0ccf46cbed59868,02/06/2024 23:55:59,02/06/2024 23:56:45,02/06/2024 23:59:26,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'125,SAN GABRIEL CHILAC,'N/A,'N/A,A,'00,1,4,N/A,1,N/A,1,0,0,0,0,-,0,-,1,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,1,1,1,N/A, - ,1,F,936ba5d7059360734b8d47db3e337c09bc7d983a1e7036bfd5225f1a08f7bd7e,02/06/2024 23:55:09,02/06/2024 23:56:05,03/06/2024 01:32:22,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'133,SAN MARTIN TEXMELUCAN,'N/A,'N/A,A,'00,1,4,N/A,1,N/A,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,SIN DATO,-,-,0,-,0,-,0,-,-,-,0,-,-,-,0,-,0,-,0,-,-,0,-,-,0,0,-,0,0,-,0,-,0,-,0,0,1,0,1,N/A,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,b4dd38488e403601efda43539bfae56a43c3b5c42804ef813fecc8e33aca89b6,02/06/2024 23:41:33,02/06/2024 23:43:15,03/06/2024 01:22:20,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'141,SAN PEDRO CHOLULA,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,N/A,-,-,-,-,-,-,-,-,-,-
'210000A0100,'210000A01004,'21,PUEBLA,'153,TECAMACHALCO,'N/A,'N/A,A,'00,1,4,N/A,2,N/A,2,0,0,0,0,0,0,0,2,0,0,-,-,-,-,0,-,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,0,-,-,-,-,0,-,0,0,2,2,2,N/A, - ,1,F,4fd13de6494cdbc991bd8c37b4862736be13b5b3718ef61f2c054e93d8d53c3b,02/06/2024 23:46:18,02/06/2024 23:50:24,02/06/2024 23:52:26,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'155,TEHUACAN,'N/A,'N/A,A,'00,1,4,N/A,SIN DATO,N/A,SIN DATO,2,0,0,0,1,0,0,4,1,0,-,-,-,0,-,-,-,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,0,0,SIN DATO,8,9,N/A, - ,1,F,4838b4ed7311b332e7d4b01f5c11f106a849a75e81fd921444e97e8bd289350e,03/06/2024 01:27:46,03/06/2024 02:29:13,03/06/2024 02:31:23,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'160,TEPANCO DE LOPEZ,'N/A,'N/A,A,'00,1,4,N/A,SIN DATO,N/A,SIN DATO,0,0,-,0,0,0,0,1,0,-,-,-,-,-,0,-,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0,SIN DATO,1,1,N/A, - ,1,F,c3cbd7a9584d79bb653583aa74fae29b6263b60efe8ded52a1d4e61112d4998a,03/06/2024 01:21:53,03/06/2024 02:22:51,03/06/2024 02:24:45,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'173,TEZIUTLAN,'N/A,'N/A,A,'00,1,4,N/A,SIN DATO,N/A,SIN DATO,0,0,0,0,0,2,0,0,0,0,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIN DATO,2,5,N/A, - ,1,F,e475269f6c234bf0e71d67e517655e6dff9378aff86bfcc43761a30c8ca55422,03/06/2024 19:25:46,03/06/2024 19:30:50,03/06/2024 19:42:57,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'186,TLATLAUQUITEPEC,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,N/A,-,-,-,-,-,-,-,-,-,-
'210000A0100,'210000A01004,'21,PUEBLA,'192,TUZAMAPAN DE GALEANA,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,N/A,-,-,-,-,-,-,-,-,-,-
'210000A0100,'210000A01004,'21,PUEBLA,'194,VENUSTIANO CARRANZA,'N/A,'N/A,A,'00,1,4,N/A,1,N/A,1,0,0,0,0,0,0,0,1,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,N/A, - ,1,F,915f54b8f534548d050b15c0e6f637841d2f0ce97887d7dcbe039aa684710011,03/06/2024 01:17:54,03/06/2024 02:17:21,03/06/2024 02:22:01,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'197,XICOTEPEC,'N/A,'N/A,A,'00,1,4,N/A,SIN DATO,N/A,SIN DATO,0,0,0,0,0,0,0,2,0,0,-,-,-,0,-,-,-,0,0,-,0,-,-,0,0,0,0,0,0,0,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,2,2,2,N/A,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,18f220c0237cc94c745091fe259699d4f65e5b640d92bd59f2082d78a502bf79,03/06/2024 01:19:40,03/06/2024 02:19:55,03/06/2024 02:45:25,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'204,YAONAHUAC,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,N/A,-,-,-,-,-,-,-,-,-,-
'210000A0100,'210000A01004,'21,PUEBLA,'214,ZINACATEPEC,'N/A,'N/A,A,'00,1,4,N/A,1,N/A,1,0,0,0,0,0,0,0,1,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,N/A, - ,1,F,84f794124086f01a7941ae4ba44171b213f3962b876ecae2d405ac3e6b3973b2,02/06/2024 23:54:25,02/06/2024 23:56:29,02/06/2024 23:57:04,CATD,ESCANER,ACTA VA
'210423B0100,'210423B01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0423,'01,B,'00,2,4,218,552,7,559,7,177,0,14,15,5,116,129,1,-,-,-,-,18,-,-,-,13,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,64,559,559,743,20, - ,1,F,8a941522055b35032e2fe6aa13d9c30b3ee36cc8db6747e542d72f6efca8e4ef,03/06/2024 10:42:39,03/06/2024 10:51:38,03/06/2024 10:52:32,CATD,ESCANER,ACTA PREP
'210423C0100,'210423C01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0423,'01,C,'00,2,4,226,543,7,550,11,193,1,9,4,5,127,124,2,-,-,-,-,17,-,-,-,6,SIN DATO,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SIN DATO,-,-,-,-,-,-,-,SIN DATO,50,550,550,742,20,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,a8c4b606d52d27e37d6fe8966f545ece026a1e5c179d11cfe2a4acae165e6a7b,03/06/2024 10:32:05,03/06/2024 10:43:06,03/06/2024 10:44:22,CATD,ESCANER,ACTA PREP
'210423C0200,'210423C02004,'21,PUEBLA,'050,CHICONCUAUTLA,'0423,'02,C,'00,2,4,217,557,8,559,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,ILEGIBLE,-,-,-,-,ILEGIBLE,-,-,-,ILEGIBLE,ILEGIBLE,-,ILEGIBLE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ILEGIBLE,-,-,-,-,-,-,-,ILEGIBLE,ILEGIBLE,559,0,742,20,TODOS ILEGIBLES O SIN DATO,0,F,093a57fb1e318661b873069b672c490bbbd3c410b203a7e1c721f5a14f4fb02d,03/06/2024 10:40:32,03/06/2024 10:49:31,03/06/2024 11:02:34,CATD,ESCANER,ACTA PREP
'210423C0300,'210423C03004,'21,PUEBLA,'050,CHICONCUAUTLA,'0423,'03,C,'00,2,4,220,556,SIN DATO,776,4,191,4,11,5,6,148,117,2,-,-,-,-,14,-,-,-,4,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SIN DATO,-,-,-,-,-,-,-,SIN DATO,48,556,556,742,20,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,0a8e47a7a16feb9d21f95fa34bf8a900b61a517fd2f6533f1aa15f3cd50bdf4d,03/06/2024 10:30:00,03/06/2024 10:40:52,03/06/2024 10:45:03,CATD,ESCANER,ACTA PREP
'210424B0100,'210424B01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0424,'01,B,'00,2,4,155,424,4,428,4,148,3,7,0,2,212,14,0,-,-,-,-,5,-,-,-,2,0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,30,428,428,549,20, - ,1,F,e71a80deec27e5b9512f971f247d51d22e4aa248139f4f8336a2779007359aba,03/06/2024 10:37:38,03/06/2024 10:46:40,03/06/2024 10:47:44,CATD,ESCANER,ACTA PREP
